match_id,minute,value
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,70,20
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,71,-48
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,72,-31
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,73,-22
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,74,42
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,75,14
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,76,2
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,77,-57
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,78,-40
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,79,-23
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,80,32
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,81,62
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,82,28
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,83,12
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,84,-45
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,85,-63
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,86,-47
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,87,-42
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,88,-78
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,89,-34
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,90,21
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,90.5,-24
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,1,-3
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,2,-60
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,3,-32
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,4,-22
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,5,-25
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,6,-15
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,7,-5
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,8,21
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,9,-16
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,10,-7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,11,12
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,12,-35
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,13,-63
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,14,-38
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,15,-28
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,16,-9
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,17,-11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,18,11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,19,13
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,20,4
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,21,14
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,22,-21
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,23,-6
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,24,28
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,25,9
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,26,-19
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,27,-46
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,28,-11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,29,-14
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,30,-50
