id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
12,a,,,5.0,256,38,0,0,0,0,0.3,286,105,40,0,2.7,167,53,2,141,0.0,372,173,0.0,8.0,0,0,0,0,0,3.1,,0.65,0.52,1.17,3.21,0.11,0.09,0.2,0.56,83.4,312,115,92.8,243,81,66.0,250,85,24.1,294,105,,,,0,,Oleksandr,Zinchenko,Zinchenko,,,518.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,21.0,,,,0.0,0.69,0.17,0.87,3.65
17,a,,,8.0,14,8,0,0,0,0,3.2,90,30,116,0,3.9,56,28,11,529,0.0,669,293,0.0,14.5,0,0,0,0,0,3.1,,4.85,6.68,11.53,22.16,0.19,0.26,0.45,0.86,524.6,113,46,968.7,7,7,493.0,63,43,198.8,32,25,3.0,2.0,2.0,0,,Martin,Ødegaard,Ødegaard,,,2321.0,3.0,9.0,11.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,26.0,127.0,,,,0.0,0.43,0.81,1.01,4.92
41,a,,,4.5,429,115,0,0,0,0,0.5,244,93,55,0,2.3,205,71,3,254,0.0,200,135,0.0,12.2,0,0,0,0,0,1.4,,0.51,0.43,0.94,29.69,0.02,0.02,0.04,1.32,350.6,181,64,84.5,247,85,102.0,218,68,54.0,232,69,,,,0,,Pau,Torres,Pau,,,2019.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,116.0,,,,0.0,0.22,1.47,1.03,5.17
44,a,,,4.0,645,194,0,0,0,0,0.3,298,109,6,0,0.8,383,135,0,22,0.0,87,48,0.0,1.5,0,0,0,0,0,0.5,,0.04,0.13,0.17,9.28,0.01,0.02,0.03,1.77,84.8,311,114,33.3,303,115,15.0,310,115,13.3,319,116,,,,0,,Lamare,Bogarde,Bogarde,,,473.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,30.0,,,,0.0,0.0,2.09,0.95,5.71
48,a,,,6.0,86,59,0,0,0,0,2.3,110,37,121,0,3.4,101,48,15,686,0.0,578,231,0.0,20.2,0,0,0,0,0,1.6,,3.31,5.83,9.14,43.87,0.1,0.17,0.27,1.31,799.6,29,7,963.1,8,8,333.0,93,64,209.6,23,18,3.0,,4.0,0,,Youri,Tielemans,Tielemans,,,3025.0,3.0,7.0,7.0,46.0,0.0,0.0,1.0,4.0,0.0,0.0,35.0,314.0,,,,0.0,0.21,1.37,1.04,9.34
49,a,,,5.5,151,98,0,0,0,0,0.5,237,79,47,0,2.0,251,114,2,174,0.0,508,189,0.0,8.5,0,0,0,0,0,1.5,,1.73,2.92,4.65,13.91,0.14,0.23,0.37,1.11,146.4,280,130,235.8,154,107,325.0,94,65,70.3,194,102,8.0,4.0,,0,,Leon,Bailey,Bailey,,,1132.0,1.0,2.0,2.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,77.0,,,,0.0,0.16,1.51,1.11,6.12
50,a,,,5.5,139,91,0,0,0,0,0.2,380,124,11,0,0.9,381,181,0,37,0.0,496,182,0.0,2.0,0,0,0,0,0,1.5,,0.65,0.03,0.68,2.27,0.66,0.03,0.69,2.3,16.4,357,167,23.2,320,166,16.0,309,162,5.2,355,168,,,,0,,Emiliano,Buendía Stati,Buendía,,,89.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,,,,0.0,0.0,2.02,0.0,16.18
51,a,,,5.5,183,117,0,0,0,0,0.0,632,268,0,0,0.0,663,292,0,0,0.0,540,208,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,292,0.0,663,292,0.0,660,289,0.0,663,292,,,,0,,Samuel,Iling-Junior,Iling Jr,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
52,a,,,5.5,159,104,0,0,0,0,0.6,220,74,66,0,2.3,211,93,3,265,0.0,516,195,0.0,12.0,0,0,0,0,0,1.5,,1.59,2.18,3.77,23.99,0.09,0.12,0.21,1.34,235.4,228,109,307.9,120,86,245.0,120,81,78.7,172,94,,,,0,,Jacob,Ramsey,J.Ramsey,,,1616.0,1.0,4.0,5.0,26.0,0.0,0.0,0.0,2.0,1.0,0.0,19.0,133.0,,,,0.0,0.28,1.45,1.06,7.41
53,a,,,5.5,144,95,0,0,0,0,2.1,118,38,34,0,2.4,196,84,3,112,0.0,501,186,0.0,6.2,0,0,0,0,0,1.5,,2.15,0.15,2.3,4.77,0.65,0.05,0.7,1.45,138.2,284,134,42.7,288,155,208.0,143,95,38.5,262,133,,,,0,,Donyell,Malen,Malen,,,296.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,,,,0.0,0.0,1.82,0.61,5.17
