id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
189,Owen,Dodgson,Dodgson,u,Has joined Stockport County on loan for the rest of the season.,,4.0,637,,0.0,636,,0.0,,,0,0,,0,,0,57,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
190,Hjalmar,Ekdal,Ekdal,a,,,4.0,650,,1.0,183,,4.3,,,3,0,,0,,9422,2233,1.1,3.2,2.8,3.8,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,82,0,0,0,2,0,0,0,0,0,0,1,0,11,64170,12590,0.0,0.0,0.0,0.0,2.5700000000000003,24.6,0.29999999999999893,2.0,2.7,2,10,6,18
191,Maxime,Estève,Estève,a,,,4.0,649,,18.4,22,,2.7,,,1,0,,0,,11777,31396,0.7,2.0,1.2,2.2,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,90,0,0,0,3,0,0,0,0,0,0,1,0,-2,76921,101743,0.0,0.0,0.0,0.0,3.6300000000000003,16.4,0.19999999999999996,2.0,1.8999999999999995,1,7,1,9
192,Quilindschy,Hartman,Hartman,a,,,4.0,660,,0.5,235,,2.7,,,1,0,,0,,799,1594,0.7,2.0,1.2,2.2,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,90,0,0,0,3,0,0,0,0,0,0,1,0,2,5049,5477,0.0,0.09,0.0,0.09000000000000001,3.63,19.599999999999994,1.8000000000000007,7.0,2.8000000000000007,2,7,3,12
193,Bashir,Humphreys,Humphreys,a,,,4.0,634,,0.0,578,,0.0,,,0,0,,0,,80,71,0.0,0.0,-1.5,-0.5,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
194,Jordan,Beyer,Jordan,i,Knee injury - Expected back 14 Sep,,4.0,620,,0.1,455,,0.0,,,0,0,,0,,8,472,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
195,Lucas,Pires Silva,Lucas Pires,a,,,4.0,684,,0.1,430,,0.0,,,0,0,,0,,61,324,0.0,0.0,-1.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
196,Shurandy,Sambo,Sambo,u,Has joined Sparta Rotterdam on loan for the rest of the season.,,4.0,633,,0.1,508,,0.0,,,0,0,,0,,0,265,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
197,Oliver,Sonne,Sonne,a,,,4.0,675,,0.1,421,,1.0,,,1,0,,0,,122,309,0.2,0.8,-0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,1,618,1380,0.0,0.0,0.0,0.0,1.06,3.0,0.0,0.0,0.2999999999999998,1,1,0,2
198,Axel,Tuanzebe,Tuanzebe,a,,,4.0,604,,1.8,138,,0.0,,,0,0,,0,,308,3861,0.0,0.0,-1.5,-0.5,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,22575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
