id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
493,a,,,5.0,233,149,0,0,0,0,0.3,349,104,34,0,1.4,316,147,0,131,0.0,348,95,0.0,6.8,0,0,0,0,0,1.0,,0.6,0.22,0.82,11.32,0.07,0.03,0.1,1.3,117.2,293,141,78.4,253,142,76.0,241,133,27.3,288,143,,,,0,
367,a,,,4.5,424,27,0,0,0,0,0.7,218,31,0,0,0.0,513,71,0,0,0.0,207,55,0.0,0.0,0,0,0,0,0,3.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510,71,0.0,506,67,0.0,486,56,0.0,510,71,,,,0,
369,a,,,4.0,553,45,0,0,0,0,0.2,486,70,0,0,0.0,406,41,0,0,0.0,18,14,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,41,0.0,392,31,0.0,358,16,0.0,403,41,,,,0,
370,a,,,6.0,92,4,0,0,0,0,29.4,8,2,0,0,0.0,652,219,0,0,0.0,567,214,0.0,0.0,0,0,0,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652,219,0.0,652,219,0.0,651,219,0.0,652,219,,,,0,
371,a,,,6.0,107,9,0,0,0,0,16.5,24,8,134,0,3.5,90,15,10,550,0.0,582,219,0.0,22.3,0,0,0,0,0,5.0,,0.6,2.57,3.17,48.69,0.02,0.07,0.09,1.31,694.0,51,18,642.0,42,5,238.0,124,18,157.3,64,6,,,,0,
372,a,,,6.0,80,2,0,0,0,0,3.3,97,32,91,0,2.8,162,52,4,397,0.0,555,212,0.0,15.2,0,0,0,0,0,5.0,,1.12,4.27,5.39,26.9,0.04,0.16,0.2,0.98,395.4,159,54,668.7,38,4,182.0,165,33,124.4,97,18,,,,0,
375,a,,,5.0,310,57,0,0,0,0,0.9,200,67,41,0,2.2,223,79,3,160,0.0,425,187,0.0,8.2,0,0,0,0,0,3.6,,0.7,1.43,2.13,12.4,0.08,0.17,0.25,1.5,156.2,276,101,110.5,229,71,162.0,175,42,42.8,254,83,,,,0,
376,a,,,5.0,228,35,0,0,0,0,0.2,475,188,14,0,1.6,291,104,0,83,0.0,343,165,0.0,2.8,0,0,0,0,0,3.6,,0.33,0.09,0.42,5.38,0.06,0.02,0.08,0.94,130.4,289,104,38.5,293,108,58.0,255,88,22.8,299,109,,,,0,
377,a,,,5.0,253,39,0,0,0,0,0.1,519,197,43,0,2.4,191,66,3,217,0.0,368,169,0.0,8.6,0,0,0,0,0,3.6,,0.39,2.32,2.71,9.03,0.04,0.25,0.29,0.98,202.0,249,91,260.7,141,28,60.0,252,86,52.5,234,70,,,,0,
378,a,,,4.0,654,215,0,0,0,0,0.2,408,167,0,0,0.0,485,196,0,0,0.0,119,76,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482,196,0.0,473,195,0.0,450,194,0.0,482,196,,,,0,
381,a,,,14.5,1,1,0,0,0,0,55.7,2,1,344,0,9.1,1,1,55,1133,0.0,658,297,0.0,23.7,0,0,0,0,0,5.0,,24.7,8.99,33.69,37.83,0.66,0.24,0.9,1.01,1577.0,1,1,1199.2,3,3,1985.0,1,1,476.0,1,1,,,,0,
384,a,,,7.5,25,16,0,0,0,0,2.0,133,46,127,0,3.6,83,42,22,572,0.0,641,285,0.0,16.9,0,0,0,0,0,3.5,,7.12,3.76,10.87,21.51,0.33,0.18,0.51,1.01,597.0,91,39,517.7,66,53,686.0,39,25,180.3,51,37,,,,0,
385,a,,,6.5,54,39,0,0,0,0,0.1,630,275,7,0,1.2,331,157,0,16,0.0,598,253,0.0,1.1,0,0,0,0,0,3.2,,0.34,0.15,0.49,2.8,0.3,0.13,0.43,2.45,9.0,364,171,23.5,318,165,36.0,276,147,6.7,348,166,,,,0,
387,a,,,6.5,59,43,0,0,0,0,1.0,188,64,143,0,4.0,42,21,14,605,0.0,603,257,0.0,22.0,0,0,0,0,0,3.2,,6.94,6.06,13.0,26.78,0.25,0.22,0.47,0.97,589.8,92,40,794.8,19,18,601.0,49,32,198.1,33,26,,,,0,
388,a,,,5.5,140,93,0,0,0,0,0.1,523,189,87,0,2.6,175,75,4,396,0.0,486,183,0.0,15.8,0,0,0,0,0,3.0,,4.34,1.46,5.8,23.35,0.23,0.08,0.31,1.23,397.2,158,73,343.7,104,75,400.0,79,55,113.6,115,71,,,,0,
390,s,0.0,,5.5,166,108,0,0,0,0,0.1,554,212,92,0,2.5,188,80,1,568,0.0,512,198,0.0,16.7,0,0,0,0,0,0.0,,1.13,3.5,4.63,33.06,0.03,0.1,0.13,0.94,550.6,105,43,473.9,74,60,121.0,204,117,114.7,114,70,,,,0,
391,a,,,5.0,312,195,0,0,0,0,0.1,610,258,0,0,0.0,619,268,0,0,0.0,427,141,0.0,0.0,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,268,0.0,618,268,0.0,611,265,0.0,619,268,,,,0,
392,a,,,5.0,223,144,0,0,0,0,0.1,533,196,21,0,1.1,334,158,0,82,0.0,338,90,0.0,4.2,0,0,0,0,0,2.5,,0.0,0.09,0.09,4.25,0.0,0.03,0.03,1.48,57.6,326,152,38.2,296,158,6.0,331,172,10.0,332,161,,,,0,
396,a,,,4.5,519,288,0,0,0,0,0.1,587,239,0,0,0.0,579,240,0,0,0.0,302,69,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578,239,0.0,574,239,0.0,559,234,0.0,578,239,,,,0,
397,a,,,6.5,62,17,0,0,0,0,3.1,101,19,66,0,2.2,226,23,6,244,0.0,606,54,0.0,10.2,0,0,0,0,0,3.2,,5.76,0.51,6.27,16.85,0.47,0.04,0.51,1.36,263.8,216,19,151.6,202,22,404.0,78,21,81.2,166,21,,,,0,
431,a,,,5.0,290,15,0,0,0,0,0.7,236,35,8,0,2.0,248,26,0,22,0.0,405,70,0.0,1.6,0,0,0,0,0,2.6,,0.0,0.0,0.0,6.93,0.0,0.0,0.0,1.73,80.0,314,24,0.0,607,74,0.0,600,70,7.9,342,24,,,,0,
434,a,,,4.0,536,32,0,0,0,0,0.4,304,42,0,0,0.0,395,31,0,0,0.0,1,1,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391,30,0.0,378,18,0.0,344,3,0.0,391,30,,,,0,
436,a,,,5.0,248,38,0,0,0,0,0.7,217,74,68,0,2.3,208,72,3,312,0.0,363,168,0.0,13.6,0,0,0,0,0,2.1,,2.48,0.25,2.73,38.53,0.11,0.01,0.12,1.64,518.4,117,40,88.7,245,83,303.0,100,9,91.5,143,40,,,,0,
438,a,,,5.0,266,46,0,0,0,0,1.0,187,64,88,0,2.4,192,67,5,410,0.0,381,176,0.0,17.6,0,0,0,0,0,2.1,,0.69,1.87,2.56,46.26,0.02,0.06,0.08,1.47,619.4,80,28,332.7,106,21,123.0,203,61,107.5,123,32,,,,0,
439,a,,,4.5,535,139,0,0,0,0,0.2,415,169,0,0,0.0,589,217,0,0,0.0,318,160,0.0,0.0,0,0,0,0,0,1.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588,217,0.0,584,216,0.0,569,216,0.0,588,217,,,,0,
440,a,,,4.5,387,93,0,0,0,0,2.9,108,36,95,0,2.9,138,38,9,352,0.0,170,114,0.0,21.1,0,0,0,0,0,1.4,,1.96,2.35,4.31,46.95,0.06,0.08,0.14,1.5,493.2,128,46,434.2,81,14,264.0,113,14,118.6,107,23,,,,0,
441,a,,,4.5,523,136,0,0,0,0,1.9,135,45,18,0,1.5,303,108,1,108,0.0,306,157,0.0,4.0,0,0,0,0,0,1.4,,0.43,1.27,1.7,10.26,0.05,0.14,0.19,1.1,106.4,302,109,175.3,189,47,112.0,214,65,39.4,260,87,,,,0,
442,a,,,4.5,351,65,0,0,0,0,0.6,248,89,48,0,1.8,267,94,3,217,0.0,134,86,0.0,10.7,0,0,0,0,0,1.4,,1.82,0.25,2.07,26.83,0.09,0.01,0.1,1.38,411.4,153,53,111.5,227,69,237.0,125,19,76.1,179,52,,,,0,
443,a,,,4.5,356,69,0,0,0,0,0.2,432,177,5,0,0.7,390,140,0,38,0.0,139,90,0.0,1.1,0,0,0,0,0,1.4,,0.03,0.77,0.8,3.81,0.01,0.2,0.21,0.99,48.2,332,123,68.2,263,92,11.0,320,121,12.7,320,117,,,,0,
444,a,,,4.5,492,133,0,0,0,0,1.1,185,62,22,0,1.0,358,132,0,90,0.0,275,154,0.0,4.9,0,0,0,0,0,1.4,,0.7,0.15,0.85,19.35,0.05,0.01,0.06,1.5,207.4,246,89,55.8,272,96,54.0,260,93,31.8,280,99,,,,0,
446,a,,,4.0,628,194,0,0,0,0,0.3,402,164,2,0,1.0,346,126,0,16,0.0,93,55,0.0,0.5,0,0,0,0,0,0.5,,0.0,0.02,0.02,2.94,0.0,0.01,0.01,1.59,37.4,341,128,4.9,351,128,2.0,339,129,4.4,356,129,,,,0,
447,a,,,4.0,651,212,0,0,0,0,3.1,103,34,10,0,2.5,178,58,2,47,0.0,116,73,0.0,2.5,0,0,0,0,0,0.5,,0.12,0.01,0.13,1.69,0.06,0.01,0.07,0.9,43.4,334,125,12.9,334,124,8.0,324,123,6.4,349,128,,,,0,
449,a,,,9.0,6,4,0,0,0,0,8.5,47,14,174,0,4.8,14,8,28,810,0.0,652,294,0.0,19.3,0,0,0,0,0,2.3,,9.93,7.89,17.82,45.85,0.3,0.24,0.54,1.37,1017.8,7,4,1407.7,1,1,587.0,50,33,300.8,4,4,,,,0,
450,a,,,8.0,15,11,0,0,0,0,15.4,29,9,178,0,5.4,8,4,41,838,0.0,647,289,0.0,22.2,0,0,0,0,0,2.1,,8.73,5.29,14.02,44.53,0.3,0.18,0.48,1.54,936.2,11,5,847.8,14,13,940.0,15,7,272.2,7,5,,,,0,
452,a,,,6.5,70,52,0,0,0,0,4.1,82,25,129,0,5.0,12,7,17,569,0.0,614,266,0.0,19.8,0,0,0,0,0,1.7,,4.71,3.98,8.69,31.71,0.22,0.19,0.41,1.5,634.0,68,26,687.2,36,32,615.0,48,31,193.8,38,30,,,,0,
455,a,,,6.0,84,60,0,0,0,0,0.1,507,177,25,0,1.5,307,145,0,74,0.0,559,228,0.0,4.2,0,0,0,0,0,1.6,,3.37,0.57,3.94,8.24,0.49,0.08,0.57,1.21,104.0,306,146,140.0,210,129,218.0,138,91,45.6,247,128,,,,0,
457,a,,,5.5,111,76,0,0,0,0,0.1,495,169,48,0,2.0,250,113,3,300,0.0,457,166,0.0,8.7,0,0,0,0,0,1.5,,1.8,1.99,3.79,24.0,0.11,0.12,0.23,1.45,433.2,144,64,348.2,101,73,265.0,112,77,104.8,126,76,,,,0,
458,a,,,5.0,321,203,0,0,0,0,0.9,196,65,42,0,1.7,285,131,0,229,0.0,436,149,0.0,8.4,0,0,0,0,0,1.0,,0.84,1.78,2.62,25.23,0.05,0.1,0.15,1.38,196.6,254,119,250.8,145,100,137.0,190,113,58.8,221,118,,,,0,
459,a,,,5.0,267,168,0,0,0,0,0.2,417,131,49,0,1.7,284,130,1,318,0.0,382,114,0.0,9.8,0,0,0,0,0,1.0,,1.0,0.67,1.67,29.54,0.05,0.03,0.08,1.5,313.6,200,95,195.9,177,120,113.0,212,122,62.1,217,115,,,,0,
460,a,,,4.5,448,244,0,0,0,0,0.2,409,125,6,0,1.0,353,160,0,40,0.0,231,25,0.0,1.3,0,0,0,0,0,0.5,,0.08,0.37,0.45,3.09,0.04,0.19,0.23,1.6,40.4,338,156,29.9,309,161,8.0,325,168,7.9,341,164,,,,0,
