player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
584,25-26-friendly-newcastle-united-vs-tottenham-hotspur,62,0,0,1,0.0,0.0,1,1,1,2,28,12,92.0,0.0,0,1,25.0,1,100.0,0,0,1,0,0,0,0,4,6,4,57.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0,50.0,0.0,0.0,,1.0,0.0,62.0,1.0,0.0,0.0
581,25-26-friendly-tottenham-hotspur-vs-arsenal,6,0,0,0,0.0,0.0,0,0,0,0,6,6,100.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,85.0,92.0,0.0,0.0,0.0
27,25-26-friendly-tottenham-hotspur-vs-arsenal,6,0,0,0,0.0,0.0,0,0,0,2,8,6,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,85.0,92.0,0.0,0.0,0.0
591,25-26-friendly-tottenham-hotspur-vs-arsenal,6,0,0,0,0.0,0.0,0,0,0,0,7,4,67.0,0.0,1,0,0.0,0,0.0,0,0,0,0,1,0,0,2,0,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,85.0,92.0,0.0,0.0,0.0
460,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,1,17,13,81.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,0.0,0.0,0.0
343,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,35,24,89.0,0.0,1,0,0.0,0,0.0,0,1,0,1,4,2,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,46.0,90.0,0.0,0.0,0.0
457,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,1,0.0,0.0,0,0,0,1,32,22,79.0,0.0,2,0,0.0,2,100.0,0,1,3,0,0,0,2,1,5,0,0.0,1,100.0,0,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,0.0,0.0,0.0
485,25-26-friendly-newcastle-united-vs-arsenal,90,0,0,1,0.0,0.0,0,0,0,0,13,3,60.0,0.0,0,0,0.0,0,0.0,0,0,2,0,1,0,1,2,4,2,33.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,2.0,0.0,0.0
480,25-26-friendly-newcastle-united-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,20,11,79.0,0.0,0,0,0.0,0,0.0,0,0,0,0,3,2,0,3,1,0,0.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,2.0,0.0,0.0
476,25-26-friendly-newcastle-united-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,25,21,88.0,0.0,0,0,0.0,2,50.0,0,0,2,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,2.0,0.0,0.0
